row,col,fitted_celltype,state
37927.84285714286,26882.22857142857,Tumor cells,8
37969.0,26881.5,Stromal cells (undefined),6
37982.69411764706,26883.058823529413,Stromal cells (undefined),6
38108.4367816092,26882.701149425287,Tumor cells,8
38136.28767123288,26882.19178082192,Stromal cells (undefined),6
38016.46540880503,26884.490566037737,Stromal cells (undefined),6
37955.63878326996,26885.661596958176,Stromal cells (undefined),6
38078.26315789474,26884.690789473683,Stromal cells (undefined),6
37916.78612716763,26886.41040462428,T cells (other),7
38029.74796747968,26886.31707317073,Stromal cells (undefined),6
37902.90625,26885.729166666668,T cells (other),7
37994.46090534979,26887.683127572014,Tumor cells,8
38039.63783783784,26891.44864864865,Stromal cells (undefined),6
38062.614795918365,26890.10714285714,Tumor cells,8
37934.53418803419,26893.10683760684,Endothelial cells,1
38102.472727272725,26894.369696969698,Stromal cells (undefined),6
38019.4,26895.77575757576,Tumor cells,8
38055.74380165289,26899.99173553719,Stromal cells (undefined),6
38003.861940298506,26897.43283582089,Tumor cells,8
38134.58947368421,26896.657894736843,Tumor cells,8
37899.21680216802,26895.9864498645,T cells (other),7
37989.71153846154,26902.04807692308,Stromal cells (undefined),6
38113.67692307692,26902.010256410256,Tumor cells,8
37889.89361702128,26905.702127659573,Tumor cells,8
38036.68595041322,26903.80991735537,Tumor cells,8
38080.01960784314,26902.91176470588,Stromal cells (undefined),6
38124.45967741936,26905.120967741936,Tumor cells,8
37975.30370370371,26905.71851851852,Stromal cells (undefined),6
38023.905263157896,26907.326315789476,Stromal cells (undefined),6
37961.914414414416,26906.96846846847,T cells (other),7
37916.547738693465,26907.22110552764,Cytotoxic T cells,0
37901.14792899408,26909.686390532544,Helper T cells,2
38069.57357357357,26910.69369369369,Stromal cells (undefined),6
37992.49635036496,26914.5401459854,Stromal cells (undefined),6
38037.64502164503,26918.14285714286,Tumor cells,8
37893.954081632655,26919.530612244896,Endothelial cells,1
37924.79228486647,26918.61721068249,Cytotoxic T cells,0
37979.65898617511,26920.09677419355,Stromal cells (undefined),6
37908.688888888886,26921.755555555555,Helper T cells,2
37964.5421686747,26921.95582329317,Tumor cells,8
38083.17307692308,26920.552884615383,Stromal cells (undefined),6
38052.14102564102,26923.102564102563,Stromal cells (undefined),6
38133.26991150442,26923.451327433628,Endothelial cells,1
37996.38888888889,26924.590277777777,Stromal cells (undefined),6
38118.34756097561,26924.658536585364,Stromal cells (undefined),6
38026.88105726872,26924.11894273128,Endothelial cells,1
38010.93532338309,26926.42786069652,Cytotoxic T cells,0
37984.91891891892,26929.45945945946,Stromal cells (undefined),6
37933.732954545456,26929.852272727272,Stromal cells (undefined),6
38076.78488372093,26930.029069767443,Stromal cells (undefined),6
37894.0773480663,26933.28729281768,Helper T cells,2
37972.68235294118,26932.61176470588,Stromal cells (undefined),6
38095.0625,26936.9375,Stromal cells (undefined),6
38003.52995391705,26937.543778801843,Stromal cells (undefined),6
37987.0495049505,26938.37623762376,Endothelial cells,1
38047.28571428572,26938.12554112554,Stromal cells (undefined),6
38127.19741100324,26938.893203883497,Stromal cells (undefined),6
38140.859375,26941.53125,Stromal cells (undefined),6
38018.13953488372,26945.3023255814,Stromal cells (undefined),6
37970.51960784314,26945.803921568626,Endothelial cells,1
37896.38644067797,26948.09491525424,Helper T cells,2
38109.06914893617,26948.13829787234,Stromal cells (undefined),6
37924.26754385965,26949.495614035088,Cytotoxic T cells,0
37910.789699570814,26951.59227467811,Stromal cells (undefined),6
38068.140684410646,26952.045627376425,Tumor cells,8
38131.81621621622,26952.443243243244,Stromal cells (undefined),6
37995.37057220708,26956.231607629423,Stromal cells (undefined),6
38033.21912350597,26955.988047808765,Tumor cells,8
37968.86607142857,26957.96875,Stromal cells (undefined),6
38096.956666666665,26957.066666666666,Stromal cells (undefined),6
38116.90206185567,26958.5412371134,Stromal cells (undefined),6
37929.85889570552,26964.34355828221,Stromal cells (undefined),6
37998.54347826087,26968.152173913044,Stromal cells (undefined),6
37905.8431372549,26966.5637254902,Helper T cells,2
37958.11842105263,26967.924342105263,Tumor cells,8
38012.21578947368,26967.605263157893,Tumor cells,8
38071.32487309645,26969.274111675128,Stromal cells (undefined),6
38132.78231292517,26969.10884353741,Stromal cells (undefined),6
37983.78297872341,26971.87234042553,Endothelial cells,1
37892.89221556886,26972.76047904192,Helper T cells,2
38046.723051409615,26971.683250414597,Tumor cells,8
37948.5652173913,26975.14285714286,Tumor cells,8
37907.7125,26979.716666666667,Helper T cells,2
37924.688524590165,26978.27868852459,Tumor cells,8
37972.06134969325,26979.889570552143,Endothelial cells,1
38005.066666666666,26981.35714285714,Tumor cells,8
37940.5198019802,26982.787128712876,Stromal cells (undefined),6
38073.86363636364,26983.795454545456,Stromal cells (undefined),6
38136.01809954751,26987.778280542985,Stromal cells (undefined),6
38010.22093023256,26990.918604651164,Tumor cells,8
38107.03018867925,26990.39622641509,Stromal cells (undefined),6
37893.236363636366,26990.86363636364,Macrophages (CD163-),4
37906.31313131313,26992.156565656565,Helper T cells,2
37936.50185873606,26995.13011152416,Tumor cells,8
38055.54857142857,26992.217142857146,Endothelial cells,1
38075.26865671642,26992.412935323384,Stromal cells (undefined),6
